position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
69,69,Gao Tianguo,Gao,gao-tianguo,no-pic,3700,66,"real estate, finance",Real Estate,M,
70,69,Zhang Xin,Zhang,zhang-xin,zhang-xin,3700,52,real estate,Real Estate,F,
71,71,Huang Rulun,Huang,huang-rulun,huang-rulun,3650,66,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/b8f39daf7c442a93e854518a273084a2/416x416.jpg?background=000000&cropX1=69&cropX2=716&cropY1=142&cropY2=790
72,71,Li Wa,Li,li-wa,li-wa,3650,52,real estate,Real Estate,M,
73,73,Chen Dongsheng,Chen,chen-dongsheng,no-pic,3600,60,insurance,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5a05ff0b4bbe6f37dda22ab7/416x416.jpg?background=000000&cropX1=1661&cropX2=4997&cropY1=14&cropY2=3350
74,73,Sun Guangxin,Sun,sun-guangxin,sun-guangxin,3600,55,diversified,Diversified,M,//specials-images.forbesimg.com/imageserve/589db0c14bbe6f0e55867045/416x416.jpg?background=000000&cropX1=92&cropX2=673&cropY1=55&cropY2=637
75,73,Zhang Jin,Zhang,zhang-jin,no-pic,3600,46,diversified,Diversified,M,
76,76,Lu Xiangyang,Lu,lu-xiangyang,lu-xiangyang,3500,55,"automobiles, batteries",Automotive,M,
77,76,Zhang Fan,Zhang,zhang-fan,no-pic,3500,52,touch screens,Technology,M,
78,78,Xu Jingren,Xu,xu-jingren,xu-jingren,3450,73,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/5a05ffc4a7ea436b47b53402/416x416.jpg?background=000000&cropX1=395&cropX2=3216&cropY1=12&cropY2=2832
79,79,He Qiaonv,He,he-qiaonv,he-qiaonv,3400,51,landscape architecture,Service,F,//specials-images.forbesimg.com/imageserve/5a060006a7ea436b47b5340c/416x416.jpg?background=000000&cropX1=959&cropX2=2461&cropY1=907&cropY2=2409
80,79,Ma Xiuhui,Ma,ma-xiuhui,ma-xiuhui,3400,47,LED lighting,Manufacturing,F,//specials-images.forbesimg.com/imageserve/5a0b26d3a7ea436b47b55a42/416x416.jpg?background=000000&cropX1=123&cropX2=2403&cropY1=105&cropY2=2386
81,81,Li Shuirong,Li,li-shuirong,li-shuirong,3380,61,petrochemicals,Manufacturing,M,
82,82,Shi Yuzhu,Shi,shi-yuzhu,shi-yuzhu,3350,55,"online games, investments",Diversified,M,//specials-images.forbesimg.com/imageserve/5a06160531358e542c051cbe/416x416.jpg?background=000000&cropX1=690&cropX2=2700&cropY1=4&cropY2=2015
83,83,Qiu Guanghe,Qiu,qiu-guanghe,qiu-guanghe,3300,66,fashion retail,Fashion & Retail,M,
84,83,Wang Jian,Wang,wang-jian-1,wang-jian-1,3300,64,healthcare services,Technology,M,//specials-images.forbesimg.com/imageserve/5a0b277aa7ea436b47b55a75/416x416.jpg?background=000000&cropX1=710&cropX2=3165&cropY1=0&cropY2=2456
85,83,Zhang Li,Zhang,zhang-li,zhang-li,3300,65,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f297d31358e1a35ab26d9/416x416.jpg?background=000000&cropX1=159&cropX2=744&cropY1=31&cropY2=616
86,86,Meisong Lai,Lai,meisong-lai,no-pic,3250,47,package delivery,Logistics,M,//specials-images.forbesimg.com/imageserve/5a06178531358e542c051cef/416x416.jpg?background=000000&cropX1=1059&cropX2=4488&cropY1=15&cropY2=3441
87,87,Ji Qi,Ji,ji-qi,no-pic,3200,51,"hotels, motels",Real Estate,M,//specials-images.forbesimg.com/imageserve/5a0ca0954bbe6f37e657caba/416x416.jpg?background=000000&cropX1=1431&cropX2=2475&cropY1=1382&cropY2=2427
88,87,Frank Wang,Wang,frank-wang,frank-wang,3200,37,drones,Technology,M,http://specials-images.forbesimg.com/imageserve/57a3950331358e4fd70bee4d/416x416.jpg?background=000000&cropX1=50&cropX2=631&cropY1=35&cropY2=617
89,89,Qin Yinglin,Qin,qin-yinglin,qin-yinglin,3150,52,pig breeding,Food and Beverage,M,
90,90,Chen Fashu,Chen,chen-fashu,chen-fashu,3100,57,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5a061a6b31358e542c051d52/416x416.jpg?background=000000&cropX1=400&cropX2=2723&cropY1=5&cropY2=2326
91,90,Ma Xingtian,Ma,ma-xingtian,ma-xingtian,3100,48,pharmaceuticals,Healthcare,M,
92,92,Ren Jianhua,Ren,ren-jianhua,ren-jianhua,3050,61,kitchen appliances,Manufacturing,M,http://specials-images.forbesimg.com/imageserve/562a5a9ee4b0ffa7afe63015/416x416.jpg?background=000000&cropX1=89&cropX2=630&cropY1=132&cropY2=673
93,93,Chen Bang,Chen,chen-bang,chen-bang,3030,52,hospitals,Healthcare,M,//specials-images.forbesimg.com/imageserve/c0e911b1254c2a8ff552dcb819a51b50/416x416.jpg?background=000000&cropX1=6&cropX2=739&cropY1=61&cropY2=794
94,94,Wang Laichun,Wang,wang-laichun,no-pic-female,3000,50,electronics components,Technology,F,//specials-images.forbesimg.com/imageserve/5a061b9131358e542c051d82/416x416.jpg?background=000000&cropX1=74&cropX2=842&cropY1=25&cropY2=794
95,94,Wang Laisheng,Wang,wang-laisheng,no-pic,3000,53,electronics components,Technology,M,
96,94,Simon Xie,Xie,simon-xie,simon-xie,3000,48,online payment service,Technology,M,http://specials-images.forbesimg.com/imageserve/eb0f2e7c5736b370425f7365da5bacad/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=102&cropY2=846
97,97,Ding Shizhong,Ding,ding-shizhong,ding-shizhong,2900,47,sports apparel,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a0b29744bbe6f6cadc87926/416x416.jpg?background=000000&cropX1=5&cropX2=761&cropY1=33&cropY2=789
98,98,Ding Shijia,Ding,ding-shijia,no-pic,2800,54,sportswear,Fashion & Retail,M,
99,98,Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,2800,66,real estate,Real Estate,M,
100,98,Song Zuowen,Song,song-zuowen,song-zuowen,2800,70,"aluminum, diversified",Diversified,M,
101,101,Zuo Hui,Zuo,zuo-hui,no-pic,2750,47,real estate services,Real Estate,M,
102,102,Du Jiangtao,Du,du-jiangtao,du-jiangtao,2700,48,chemicals,Manufacturing,M,
103,103,Jacky Xu,Xu,jacky-xu,no-pic,2690,46,apparel,Fashion & Retail,M,
104,103,Xu Xudong,Xu,xu-xudong,no-pic,2690,47,auto parts,Automotive,M,
105,105,Huang Wei,Huang,huang-wei,no-pic,2670,58,real estate,Real Estate,M,
106,106,Feng Hailiang,Feng,feng-hailiang,feng-hailiang,2600,57,"copper, real estate",Metals & Mining,M,
107,106,Li Li,Li,li-li-2,li-li-2,2600,53,pharmaceuticals,Healthcare,M,
108,106,Zhang Wenzhong,Zhang,zhang-wenzhong,no-pic,2600,56,Retail,Fashion & Retail,M,
109,109,Chen Jianhua,Chen,chen-jianhua,chen-jianhua,2590,47,chemicals,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589ce89aa7ea431f3219275d/416x416.jpg?background=000000&cropX1=68&cropX2=694&cropY1=192&cropY2=819
110,109,Ni Zugen,Ni,ni-zugen,no-pic,2590,61,appliances,Manufacturing,M,
111,111,Sze Man Bok,Sze,sze-man-bok,sze-man-bok,2580,68,hygiene products,Manufacturing,M,
112,112,Hui Lin Chit,Hui,hui-lin-chit,hui-lin-chit,2570,64,hygiene products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589d0404a7ea431f321928e8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=118&cropY2=862
113,113,Shen Wenrong,Shen,shen-wenrong,shen-wenrong,2530,71,steel production,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/589dad884bbe6f0e55867029/416x416.jpg?background=000000&cropX1=101&cropX2=724&cropY1=150&cropY2=774
114,114,Lin Zhong,Lin,lin-zhong,no-pic,2520,49,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d2201a7ea431f321929d4/416x416.jpg?background=000000&cropX1=159&cropX2=602&cropY1=89&cropY2=532
115,115,Xu Bo,Xu,xu-bo,no-pic,2500,40,mobile games,Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/59fb37f24bbe6f37dda19944/416x416.jpg?background=000000&cropX1=119&cropX2=741&cropY1=79&cropY2=701
116,116,Cho Tak Wong,Cho,cho-tak-wong,cho-tak-wong,2490,71,auto parts,Manufacturing,M,//specials-images.forbesimg.com/imageserve/58c8650c31358e1a35ad018d/416x416.jpg?background=000000&cropX1=118&cropX2=612&cropY1=158&cropY2=653
117,117,Yu Minhong,Yu,yu-minhong,yu-minhong,2440,56,education,Service,M,//specials-images.forbesimg.com/imageserve/589e18b2a7ea431f321938bd/416x416.jpg?background=000000&cropX1=6&cropX2=645&cropY1=21&cropY2=661
118,118,Wu Lanlan,Wu,wu-lanlan,no-pic-female,2420,44,packaging,Manufacturing,F,
119,119,Lei Jufang,Lei,lei-jufang,lei-jufang,2410,65,pharmaceuticals,Healthcare,F,
120,120,Lam Kong,Lam,lam-kong,lam-kong,2390,53,pharmaceuticals,Healthcare,M,
121,121,Wu Jianshu,Wu,wu-jianshu,no-pic,2380,54,auto parts,Automotive,M,
122,122,Chu Lam Yiu,Chu,chu-lam-yiu,chu-lam-yiu,2370,48,flavorings,Manufacturing,F,
123,122,Qiu Jianping,Qiu,qiu-jianping,qiu-jianping,2370,55,hand tools,Manufacturing,M,
124,122,Zhu Xingliang,Zhu,zhu-xingliang,zhu-xingliang,2370,58,construction,Construction & Engineering,M,
125,125,Xiao Wenge,Xiao,xiao-wenge,xiao-wenge,2360,51,entertainment,Media & Entertainment,M,
126,126,Qi Shi,Qi,qi-shi,qi-shi,2330,48,financial information,Technology,M,//specials-images.forbesimg.com/imageserve/589d31bc31358e1a35ab0be8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=77&cropY2=821
127,126,Zhu Gongshan,Zhu,zhu-gongshan,zhu-gongshan,2330,60,solar panel materials,Manufacturing,M,
128,128,Gu Yuhua,Gu,gu-yuhua,no-pic,2320,68,furniture,Manufacturing,M,
129,128,Xiong Xuqiang,Xiong,xiong-xuqiang,xiong-xuqiang,2320,61,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f710c31358e1a35ab2b38/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=306&cropY2=1050
130,128,Xue Xiangdong,Xue,xue-xiangdong,xue-xiangdong,2320,58,software,Technology,M,
131,131,Xiao Yongming,Xiao,xiao-yongming,no-pic,2310,53,fertilizer,Diversified,M,
132,132,Chen Qingzhou,Chen,chen-qingzhou,no-pic,2300,52,communications equipment,Telecom,M,
133,132,Cheung Yan,Cheung,cheung-yan,cheung-yan,2300,60,paper manufacturing,Manufacturing,F,//specials-images.forbesimg.com/imageserve/589dfbf831358e1a35ab1599/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=150&cropY2=894
134,132,Shen Yuxing,Shen,shen-yuxing,no-pic,2300,59,real estate,Real Estate,M,
135,135,Chen Jinxia,Chen,chen-jinxia,no-pic-female,2290,49,investments,Finance and Investments,F,
136,136,Chen Hua,Chen,chen-hua-1,chen-hua-1,2280,52,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589ce2114bbe6f0e558666f7/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=103&cropY2=844
137,137,Lv Li,Lv,lv-li,no-pic-female,2270,41,Electronics,Technology,F,
138,138,Tong Jinquan,Tong,tong-jinquan,no-pic,2250,63,real estate,Real Estate,M,
139,139,Wu Zhigang,Wu,wu-zhigang,no-pic,2240,83,bakery chain,Food and Beverage,M,
140,140,Wang Yanqing,Wang,wang-yanqing,no-pic,2230,51,electrical equipment,Manufacturing,M,
141,141,Ren Zhengfei,Ren,ren-zhengfei,ren-zhengfei,2180,74,telecom equipment,Telecom,M,http://specials-images.forbesimg.com/imageserve/56c6960fe4b062f6b59a146c/416x416.jpg?background=000000&cropX1=279&cropX2=635&cropY1=314&cropY2=670
142,142,Lin Li,Lin,lin-li,no-pic,2170,54,investments,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/58c338ac4bbe6f0e55885d28/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=118&cropY2=862
143,143,Li Liangbin,Li,li-liangbin,no-pic,2160,50,lithium,Manufacturing,M,
144,144,Shen Guojun,Shen,shen-guojun,shen-guojun,2130,55,retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589da87a4bbe6f0e5586701e/416x416.jpg?background=000000&cropX1=69&cropX2=517&cropY1=166&cropY2=614
145,145,Li Zhongchu,Li,li-zhongchu,no-pic,2120,54,software,Technology,M,
146,146,Geng Jianming,Geng,geng-jianming,geng-jianming,2110,55,real estate,Real Estate,M,
147,147,Huang Zhenda,Huang,huang-zhenda,huang-zhenda,2100,70,construction,Construction & Engineering,M,//specials-images.forbesimg.com/imageserve/589d027da7ea431f321928c5/416x416.jpg?background=000000&cropX1=188&cropX2=681&cropY1=153&cropY2=646
148,147,Liu Ming Hui,Liu,liu-ming-hui,liu-ming-hui,2100,55,natural gas distribution,Energy,M,//specials-images.forbesimg.com/imageserve/58c33a78a7ea431f321aedab/416x416.jpg?background=000000&cropX1=145&cropX2=639&cropY1=140&cropY2=635
149,147,Zhang Xiugen,Zhang,zhang-xiugen,no-pic,2100,57,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/589f2ba431358e1a35ab26e5/416x416.jpg?background=000000&cropX1=27&cropX2=673&cropY1=73&cropY2=719
150,150,Wang Xicheng,Wang,wang-xicheng,no-pic,2070,69,tires,Manufacturing,M,
151,151,Yuan Yafei,Yuan,yuan-yafei,yuan-yafei,2040,54,"retail, investments",Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589e1949a7ea431f321938c1/416x416.jpg?background=000000&cropX1=11&cropX2=663&cropY1=34&cropY2=687
152,152,Cai Wensheng,Cai,cai-wensheng,no-pic,2030,48,photo sharing app,Technology,M,//specials-images.forbesimg.com/imageserve/589cd9814bbe6f0e55866601/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=255&cropY2=999
153,152,Li Liufa,Li,li-liufa,li-liufa,2030,60,"steel, diversified",Diversified,M,
154,152,Su Suyu,Su,su-suyu,no-pic-female,2030,69,"utilities, real estate",Real Estate,F,
155,152,Ye Cheng,Ye,ye-cheng,no-pic,2030,56,conglomerate,Diversified,M,
156,156,Mao Lixiang,Mao,mao-lixiang,no-pic,2000,,cooking appliances,Technology,M,
157,157,Jiang Yehua,Jiang,jiang-yehua,jiang-yehua,1990,55,real estate,Real Estate,M,
158,157,Zhu Baoguo,Zhu,zhu-baoguo,zhu-baoguo,1990,55,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/589f386aa7ea431f3219482d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=102&cropY2=846
159,159,Cheng Xue,Cheng,cheng-xue,no-pic-female,1960,47,soy sauce,Food and Beverage,F,
160,159,Zhou Yaoting,Zhou,zhou-yaoting,no-pic,1960,74,"apparel, real estate",Diversified,M,
161,161,Li Xiting,Li,li-xiting,no-pic,1950,67,medical devices,Healthcare,M,
162,162,Wang Zhenhua,Wang,wang-zhenhua,no-pic,1940,55,real estate,Real Estate,M,
163,163,An Kang,An,an-kang,an-kang,1930,69,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/56c70b58e4b062f6b59a18a0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=13&cropY2=757
164,163,Wu Liangding,Wu,wu-liangding,no-pic,1930,71,wheel production,Automotive,M,
165,165,Chen Qixing,Chen,chen-qixing,no-pic,1910,58,electronics components,Technology,M,
166,166,Huang Hongyun,Huang,huang-hongyun,huang-hongyun,1900,51,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58c3299931358e1a35accc03/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=172&cropY2=916
167,166,Ning Tang,Tang,ning-tang,no-pic,1900,44,online lending,Finance and Investments,M,
168,166,Zheng Yuewen,Zheng,zheng-yuewen,zheng-yuewen,1900,56,investments,Diversified,M,//specials-images.forbesimg.com/imageserve/589f2e1f31358e1a35ab2754/416x416.jpg?background=000000&cropX1=167&cropX2=742&cropY1=19&cropY2=594
169,169,Dong Wei,Dong,dong-wei-2,no-pic,1890,47,pharmaceuticals,Healthcare,M,
170,169,Hu Kaijun,Hu,hu-kaijun,no-pic,1890,56,pharmaceuticals,Healthcare,M,
171,169,Miao Shouliang,Miao,miao-shouliang,miao-shouliang,1890,63,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d2e55a7ea431f32192a5e/416x416.jpg?background=000000&cropX1=29&cropX2=723&cropY1=103&cropY2=798
172,172,Huang Yi,Huang,huang-yi,no-pic,1870,56,auto distribution,Automotive,M,
173,172,Sun Qinghuan,Sun,sun-qinghuan,no-pic,1870,44,lighting,Technology,M,
174,172,Zhang Daocai,Zhang,zhang-daocai,no-pic,1870,68,valves,Diversified,M,
175,175,Wei Shaojun,Wei,wei-shaojun,wei-shaojun,1860,55,real estate,Real Estate,M,
176,176,Wu Guangming,Wu,wu-guangming,wu-guangming,1850,55,medical equipment,Healthcare,M,
177,177,Chen Dejun,Chen,chen-dejun,no-pic,1840,47,package delivery,Logistics,M,//specials-images.forbesimg.com/imageserve/589cebf1a7ea431f321927c9/416x416.jpg?background=000000&cropX1=147&cropX2=511&cropY1=243&cropY2=607
178,178,Xie Zhikun,Xie,xie-zhikun,no-pic,1830,57,investments,Finance and Investments,M,http://specials-images.forbesimg.com/imageserve/58135cee31358e2383163cfc/416x416.jpg?background=000000&cropX1=196&cropX2=595&cropY1=100&cropY2=500
179,179,Wang Wenjing,Wang,wang-wenjing,wang-wenjing,1820,53,business software,Technology,M,//specials-images.forbesimg.com/imageserve/589de75931358e1a35ab137c/416x416.jpg?background=000000&cropX1=147&cropX2=598&cropY1=79&cropY2=530
180,179,Wong Luen Hei,Wong,wong-luen-hei,wong-luen-hei,1820,56,home building materials,Manufacturing,M,//specials-images.forbesimg.com/imageserve/58c6c1dc31358e1a35ace308/416x416.jpg?background=000000&cropX1=106&cropX2=575&cropY1=6&cropY2=475
181,181,Lin Jianhua,Lin,lin-jianhua,lin-jianhua,1810,55,solar panel components,Manufacturing,M,
182,181,Wang Changtian,Wang,wang-changtian,wang-changtian,1810,52,"TV, movie production",Media & Entertainment,M,//specials-images.forbesimg.com/imageserve/589db3014bbe6f0e55867055/416x416.jpg?background=000000&cropX1=52&cropX2=735&cropY1=40&cropY2=723
183,181,Wu Xushun,Wu,wu-xushun,no-pic,1810,69,"internet, auto parts",Diversified,M,
184,184,Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,1800,53,conglomerate,Diversified,M,
185,184,Ma Hong,Ma,ma-hong,no-pic,1800,50,fashion retail,Fashion & Retail,M,
186,184,Wong Kwong Yu,Wong,wong-kwong-yu,wong-kwong-yu,1800,48,retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589dee5aa7ea431f32193360/416x416.jpg?background=000000&cropX1=234&cropX2=538&cropY1=261&cropY2=566
187,187,Cui Genliang,Cui,cui-genliang,cui-genliang,1790,59,electric components,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589cf15ba7ea431f32192819/416x416.jpg?background=000000&cropX1=13&cropX2=715&cropY1=84&cropY2=787
188,187,Ke Xiping,Ke,ke-xiping,ke-xiping,1790,57,investments,Diversified,M,//specials-images.forbesimg.com/imageserve/589d09fea7ea431f3219292c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860
189,187,Wang Qingtao,Wang,wang-qingtao,no-pic,1790,55,steel smelting,Metals & Mining,M,//specials-images.forbesimg.com/imageserve/589de4a6a7ea431f3219329f/416x416.jpg?background=000000&cropX1=13&cropX2=657&cropY1=185&cropY2=830
190,190,Li Ge,Li,li-ge-1,no-pic,1780,51,biotechnology,Healthcare,M,
191,190,Yi Zheng,Yi,yi-zheng,no-pic,1780,47,software,Technology,M,
192,192,Su Weizhong,Su,su-weizhong,no-pic,1770,49,"oil, fertilizers",Energy,M,
193,193,Dou Zhenggang,Dou,dou-zhenggang,no-pic,1760,64,"energy, chemicals",Diversified,M,
194,193,Li Hongxin,Li,li-hongxin,no-pic,1760,64,paper & related products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589d0de24bbe6f0e55866ba4/416x416.jpg?background=000000&cropX1=31&cropX2=703&cropY1=69&cropY2=741
195,193,Li San Yim,Li,li-san-yim,li-san-yim,1760,68,manufacturing,Manufacturing,M,
196,196,Wang Jianfeng,Wang,wang-jianfeng,no-pic,1740,48,auto parts,Automotive,M,
197,196,Wang Qunbin,Wang,wang-qunbin,no-pic,1740,48,conglomerate,Diversified,M,
198,196,Zhang Xuansong,Zhang,zhang-xuansong,zhang-xuansong,1740,46,supermarket,Fashion & Retail,M,
199,199,Liu Hanyuan,Liu,liu-hanyuan,no-pic,1730,54,agribusiness,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/589d23b131358e1a35ab0b56/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=155&cropY2=899
200,199,Yang Erzhu,Yang,yang-erzhu,no-pic,1730,67,Real Estate,Real Estate,M,
201,201,Zhou Xiaoguang,Zhou,zhou-xiaoguang,zhou-xiaoguang,1720,56,real estate,Real Estate,F,//specials-images.forbesimg.com/imageserve/589f2f9031358e1a35ab276c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=118&cropY2=862
202,202,Chen Xiaoying,Chen,chen-xiaoying,no-pic-female,1700,41,package delivery,Logistics,F,
203,202,Chen Xueli,Chen,chen-xueli,no-pic,1700,67,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/589ceb5c4bbe6f0e5586699b/416x416.jpg?background=000000&cropX1=19&cropX2=713&cropY1=35&cropY2=730
204,202,Kong Jian Min,Kong,kong-jian-min,kong-jian-min,1700,50,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58a658d831358e1a35ab8d3a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
205,205,Chen Feng,Chen,chen-feng-1,no-pic,1690,64,conglomerate,Diversified,M,
206,205,Du Weimin,Du,du-weimin,no-pic,1690,54,vaccines,Healthcare,M,
207,205,Wang Jian,Wang,wang-jian-3,no-pic,1690,56,conglomerate,Diversified,M,
208,205,Wu Yulan,Wu,wu-yulan,no-pic-female,1690,48,pharmaceuticals,Healthcare,F,
209,209,Liang Yunchao,Liang,liang-yunchao,liang-yunchao,1680,49,nutrition supplements,Food and Beverage,M,
210,210,Chen Zhuolin,Chen,chen-zhuolin,chen-zhuolin,1670,55,real estate,Real Estate,M,
211,211,Yuan Fugen,Yuan,yuan-fugen,no-pic,1660,67,metal processing,Manufacturing,M,
212,212,Li Yong,Li,li-yong-1,no-pic,1650,,chemicals,Manufacturing,M,
213,212,Xu Hang,Xu,xu-hang,no-pic,1650,51,medical devices,Healthcare,M,
214,212,Meirong Yang,Yang,meirong-yang,no-pic,1650,,Education,Service,,
215,212,Zhao Yan,Zhao,zhao-yan,no-pic-female,1650,51,"real estate, finance",Diversified,F,
216,216,Jiang Yintai,Jiang,jiang-yintai,no-pic,1640,67,auto parts,Automotive,M,
217,216,Pan Weiming,Pan,pan-weiming,pan-weiming,1640,54,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d30d4a7ea431f32192a6e/416x416.jpg?background=000000&cropX1=134&cropX2=587&cropY1=192&cropY2=645
218,218,Lam Lung On,Lam,lam-lung-on,no-pic,1630,53,Real Estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589d0b2c31358e1a35ab0acb/416x416.jpg?background=000000&cropX1=21&cropX2=715&cropY1=56&cropY2=751
219,218,William Li,Li,william-li,no-pic,1630,43,automobiles,Automotive,M,
220,218,Liu Baolin,Liu,liu-baolin,liu-baolin,1630,64,pharmacies,Fashion & Retail,M,
221,218,Zhou Chengjian,Zhou,zhou-chengjian,zhou-chengjian,1630,52,fashion retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589f2e7831358e1a35ab2759/416x416.jpg?background=000000&cropX1=16&cropX2=726&cropY1=103&cropY2=814
222,222,He Ningning,He,he-ningning,no-pic,1620,47,manufacturing,Manufacturing,M,
223,222,Huang Chulong,Huang,huang-chulong,huang-chulong,1620,59,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589cce694bbe6f0e5586650d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=164&cropY2=908
224,222,Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,1620,68,advanced ceramics,Manufacturing,M,
225,225,Chi Yufeng,Chi,chi-yufeng,no-pic,1610,47,software,Technology,M,//specials-images.forbesimg.com/imageserve/589cee684bbe6f0e55866a0c/416x416.jpg?background=000000&cropX1=55&cropX2=727&cropY1=58&cropY2=730
226,225,Sun Shoukuan,Sun,sun-shoukuan,sun-shoukuan,1610,68,metals. coal,Manufacturing,M,
227,227,Li Weiwei,Li,li-weiwei,no-pic,1600,41,online games,Technology,M,
228,227,Wang Chaobin,Wang,wang-chaobin,wang-chaobin,1600,62,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58c6bac7a7ea431f321b038f/416x416.jpg?background=000000&cropX1=122&cropX2=629&cropY1=240&cropY2=748
229,229,Chan Hung To,Chan,chan-hung-to,no-pic,1590,,beverages,Food and Beverage,M,
230,229,Huo Qinghua,Huo,huo-qinghua,no-pic,1590,56,coal,Energy,M,
231,229,Jiang Wei,Jiang,jiang-wei,jiang-wei,1590,56,pharmaceuticals,Healthcare,M,
232,232,Che Fengsheng,Che,che-fengsheng,che-fengsheng,1570,55,pharmaceuticals,Healthcare,M,
233,232,Cheng Xianfeng,Cheng,cheng-xianfeng,no-pic,1570,49,pharmaceuticals,Healthcare,M,
234,232,Tse Ping,Tse,tse-ping,tse-ping,1570,66,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/589db2b34bbe6f0e55867052/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=55&cropY2=799
235,235,Wang Muqing,Wang,wang-muqing,no-pic,1560,67,auto distribution,Automotive,M,
236,235,Zhang Guiping,Zhang,zhang-guiping,zhang-guiping,1560,66,real estate,Real Estate,M,
237,235,Zhu Wenchen,Zhu,zhu-wenchen,zhu-wenchen,1560,52,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/589f34ae31358e1a35ab2790/416x416.jpg?background=000000&cropX1=69&cropX2=744&cropY1=58&cropY2=733
238,238,Chen Tianqiao,Chen,chen-tianqiao,chen-tianqiao,1550,44,online games,Technology,M,
239,238,Qi Jinxing,Qi,qi-jinxing,qi-jinxing,1550,55,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/58c6b84f4bbe6f0e55887516/416x416.jpg?background=000000&cropX1=205&cropX2=678&cropY1=221&cropY2=695
240,238,Zhang Cheng Fei,Zhang,zhang-cheng-fei,no-pic,1550,50,paper & related products,Manufacturing,M,
241,241,Hu Baifan,Hu,hu-baifan,hu-baifan,1540,55,pharmaceuticals,Healthcare,M,//specials-images.forbesimg.com/imageserve/58c32924a7ea431f321aecd9/416x416.jpg?background=000000&cropX1=151&cropX2=663&cropY1=23&cropY2=535
242,242,Zhuang Kuilong,Zhuang,zhuang-kuilong,no-pic,1530,55,chemical fiber,Fashion & Retail,M,
243,243,Peng Hao,Peng,peng-hao,no-pic,1510,50,electronics,Manufacturing,M,
244,243,Zeng Kaitian,Zeng,zeng-kaitian,no-pic,1510,43,online games,Technology,M,
245,245,Hoi Kin Hong,Hoi,hoi-kin-hong,no-pic,1500,65,real estate,Real Estate,M,
